"No.","Time","Source","Destination","Protocol","Length","Info"
"10","2.977325","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=1024"
"11","2.977984","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=1025 Ack=1 Win=2048 Len=1024"
"13","2.979927","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=2049 Ack=1 Win=2048 Len=1024"
"14","2.981125","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=3073 Ack=1 Win=2048 Len=1024"
"16","2.983461","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=4097 Ack=1 Win=2048 Len=1024"
"17","2.984102","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=5121 Ack=1 Win=2048 Len=1024"
"19","2.985912","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=6145 Ack=1 Win=2048 Len=1024"
"20","2.987118","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=7169 Ack=1 Win=2048 Len=1024"
"22","2.989311","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=8193 Ack=1 Win=2048 Len=1024"
"23","2.989984","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=9217 Ack=1 Win=2048 Len=1024"
"25","2.991972","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=10241 Ack=1 Win=2048 Len=1024"
"26","2.992934","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=11265 Ack=1 Win=2048 Len=1024"
"28","2.994820","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=12289 Ack=1 Win=2048 Len=1024"
"29","2.995963","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=13313 Ack=1 Win=2048 Len=1024"
"31","2.998329","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=14337 Ack=1 Win=2048 Len=1024"
"32","2.999107","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=15361 Ack=1 Win=2048 Len=1024"
"34","3.001391","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=16385 Ack=1 Win=2048 Len=1024"
"35","3.002137","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=17409 Ack=1 Win=2048 Len=1024"
"37","3.004469","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=18433 Ack=1 Win=2048 Len=1024"
"38","3.005193","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=19457 Ack=1 Win=2048 Len=1024"
"40","3.007606","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=20481 Ack=1 Win=2048 Len=1024"
"41","3.008501","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=21505 Ack=1 Win=2048 Len=1024"
"43","3.010713","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=22529 Ack=1 Win=2048 Len=1024"
"44","3.011427","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=23553 Ack=1 Win=2048 Len=1024"
"46","3.013680","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=24577 Ack=1 Win=2048 Len=1024"
"47","3.014374","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=25601 Ack=1 Win=2048 Len=1024"
"49","3.016289","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=26625 Ack=1 Win=2048 Len=1024"
"50","3.017677","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=27649 Ack=1 Win=2048 Len=1024"
"52","3.019918","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=28673 Ack=1 Win=2048 Len=1024"
"53","3.020608","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=29697 Ack=1 Win=2048 Len=1024"
"55","3.022677","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=30721 Ack=1 Win=2048 Len=1024"
"56","3.023532","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=31745 Ack=1 Win=2048 Len=1024"
"58","3.025639","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=32769 Ack=1 Win=2048 Len=1024"
"59","3.026299","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=33793 Ack=1 Win=2048 Len=1024"
"61","3.028309","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=34817 Ack=1 Win=2048 Len=1024"
"62","3.029145","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=35841 Ack=1 Win=2048 Len=1024"
"64","3.031181","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=36865 Ack=1 Win=2048 Len=1024"
"65","3.032056","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=37889 Ack=1 Win=2048 Len=1024"
"67","3.034082","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=38913 Ack=1 Win=2048 Len=1024"
