"No.","Time","Source","Destination","Protocol","Length","Info"
"141","17.755534","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=1024"
"142","17.760788","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=1025 Ack=1 Win=2048 Len=1024"
"144","17.765300","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=2049 Ack=1 Win=2048 Len=1024"
"145","17.769496","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=3073 Ack=1 Win=2048 Len=1024"
"147","17.774707","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=4097 Ack=1 Win=2048 Len=1024"
"148","17.778749","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=5121 Ack=1 Win=2048 Len=1024"
"150","17.783136","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=6145 Ack=1 Win=2048 Len=1024"
"151","17.787161","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=7169 Ack=1 Win=2048 Len=1024"
"153","17.791374","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=8193 Ack=1 Win=2048 Len=1024"
"154","17.796576","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=9217 Ack=1 Win=2048 Len=1024"
"156","17.801179","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=10241 Ack=1 Win=2048 Len=1024"
"157","17.805203","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=11265 Ack=1 Win=2048 Len=1024"
"159","17.808160","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=12289 Ack=1 Win=2048 Len=1024"
"160","17.810364","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=13313 Ack=1 Win=2048 Len=1024"
"162","17.813335","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=14337 Ack=1 Win=2048 Len=1024"
